Diretoria,Gerência,Coordenação,Canal de atendimento,Tipo,Descrição dos serviços executados
VPT,GETII,COAPE,suporte-apps@ciasc.sc.gov.br ,Jira,Suporte a softwares de mensageria e relacionados a Google Workspace.
VPT,GETII,COAPE,suporte-linux@ciasc.sc.gov.br,Jira,"Suporte aos sistemas operacionais LINUX e principais aplicações hospedados nesses servidores (sites, containers, LVM, particionamentos).."
VPT,GETII,COAPE,suporte-aix@ciasc.sc.gov.br,Jira,Suporte ao sistema operacional IBM AIX.
VPT,GETII,COAPE,suporte-windows@ciasc.sc.gov.br,Jira,"Suporte ao sistema operacional Windows Server e aplicativos rodando nessa platafroma (IIS,FTP, Active Directory).."
VPT,GETII,COAPE,suporte-zabbix@ciasc.sc.gov.br ,Jira,Suporte a ferramenta de monitoramento ZABBIX e GRAFANA. Criação de paineis(dashboards) de monitoramento Grafana.
VPT,GETII,COAPE,suporte-dns@ciasc.sc.gov.br ,Jira,Suporte a registro de domínios sc.gov.br  e modificações em entradas DNS. Criaçaõ de nomes DNS em geral.
VPT,GETII,COAPE,suporte-vmware@ciasc.sc.gov.br,Jira,Suporte ao ambiente Vmware. Provisionamento de máquinas virtuais e alteração nas configuração de VMs.
VPT,GETII,COAPE,suporte-vmware@ciasc.sc.gov.br,Jira,Aumentar espal em disco em servidores Windows e Linux.
VPT,GETII,COAPE,suporte-backup@ciasc.sc.gov.br,Jira,"Suporte a todas as atividades de backup/restore em máquinas virtuais, sistemas operacionais e banco de dados."
VPT,GETII,COAPE,suporte-producao@ciasc.sc.gov.br,Jira,"Suporte a atividades de Job Scheduling (rundeck), rotinas de produção."
VPT,GETII,COAPE,suporte-rundeck@ciasc.sc.gov.br,Jira,Suporte ao ambiente de automação de JOBs baseado no Rundeck.
VPT,GETII,COAPE,suporte-storage@ciasc.sc.gov.br,Jira,Suporte a atividades relacionadas ao armazenamenro de dados dos storages (mais de uso interno).
VPT,GETII,COAPE,suporte-producao@ciasc.sc.gov.br,Jira,Implementaçaõ de rotinas de produção (FTP(s)  e Rundeck)
VPT,GETII,COAPE,suporte-windows@ciasc.sc.gov.br,Jira,"Gerenciamento de contas do domínio windows INTRANET e CIASC (criação, alteração, (des)bloqueios e remoção de contas). Gerenciamento de privilegios de acesso a servidores Widnwos. Acesso RDP."
VPT,GETII,COAPE,suporte-apps@ciasc.sc.gov.br ,Jira,Administraçaõ do SAU - Tarefas administrativas - Permissionamento de acesso a sistemas abaixo do SAU é com a GEGOV.
VPT,GETII,COAPE,suporte-linux@ciasc.sc.gov.br,Jira,Solicitações para criação de entradas em proxy reverso.
VPT,GETII,COAPE,suporte-apps@ciasc.sc.gov.br,Jira,Solicitações asosicadas a criação e gerenciamento de entradas em LDAP
VPT,GERED,COSEI,suporte-firewall@ciasc.sc.gov.br,Jira,Solicitações de suporte para criação de regras e demais serviços de Firewall.
VPT,GERED,COSEI,suporte-antivirus@ciasc.sc.gov.br,Jira,Solicitações e suporte para chamados sobre antivirus (kaspersky)
VPT,GERED,COSEI,suporte-vpn@ciasc.sc.gov.br,Jira,Solicitações e suporte para chamados sobre VPN.
VPT,GERED,COIRE,coire@ciasc.sc.gov.br,Glpi,"Solicitações de infrestrutura de fibra óptica, infraestrutura do DC, microinformática e instalações elétricas na empresa."
VPT,GERED,COIRE,agendamento.datacenter@ciasc.sc.gov.br,Glpi,Solicitações de acessos e manutenções no Data Center.
VPT,GERED,COIRE,manutencao_coire@ciasc.sc.gov.br,Glpi,"Computadores dos empregados, microinformática."
VPT,GERED,COIRE,subestacao@ciasc.sc.gov.br,Glpi,"instalações elétricas na empresa, infraestrutura de energia e climatização do Data Center"
VPT,GERED,CORED,cored@ciasc.sc.gov.br,Glpi,"Solicitações de configuração e suporte técnico na rede, roteamento IP, conectividade intranet/Internet, redes Wifi, projetos especiais de conectividade."
VPT,GERED,COSIC,apoio@ciasc.sc.gov.br,e-mail,"Atendimento das aberturas de chamados na central de atendimento e operação(e-mail, telefone e Glpi)"
VPT,GPROS,CSADM,solicitacoes-sigrh@ciasc.sc.gov.br,Jira,Solicitações do produto Folha de pagamento SIGRH (Poder executivo e empresas públicas) *
VPT,GPROS,CSADM,solicitacoes-mpsc.sigrh@ciasc.sc.gov.br,Jira,Solicitações do produto SIGRH do Ministério Público de Santa Catarina *
VPT,GPROS,CSADM,suporte-esocial@ciasc.sc.gov.br,Jira,Solicitações do produto Integrador eSocial *
VPT,GPROS,CSADM,solicitacoes-esfinge@ciasc.sc.gov.br,Jira,Solicitações do produto e-Sfinge *
VPT,GPROS,CSADM,suportelic@ciasc.sc.gov.br,Jira,"Solicitações dos produtos WebLIC, eLIC, Gerenciador de editais, Portal de Compras, Cadastro de penalidades *"
VPT,GPROS,CSADM,solicitacoes-sme@ciasc.sc.gov.br,Jira,Solicitações do produto SME e NUC (Almoxarifado Mainframe) *
VPT,GPROS,CSADM,solicitacoes-pat@ciasc.sc.gov.br,Jira,Solicitações do produto PAT (Patrimônio Mainframe) *
VPT,GPROS,CSADM,solicitacoes-csadm@ciasc.sc.gov.br,Jira,"Solicitações dos produtos Rede Lógica, SIGEP, Ouvidoria *"
VPT,GPROS,CSEDU,solicitacoes-sed@ciasc.sc.gov.br,Jira,"Solicitações dos produtos SISGESC, Professor e Estudante Online, Matrícula Online, Ocupação de Vagas ACT, Uniedu, Alimentação, Universidade Gratuíta, etc. *"
VPT,GPROS,CSFAZ,solictacoes-csfaz@ciasc.sc.gov.br ,Jira,"Acompanhamento Físico Financeiro (PPA), Cartão de Pagamento do Estado de Santa Catarina (CPESC), Extrações e ou Visões de Banco de Dados (SIGEF), Portal da Transparência do Poder Executivo, Demonstrativo de Atendimento dos Requisitos para Transferências Voluntárias (DART), Prestadores de Serviço, SCtransferências, Sistema de Informações de Gestão de Custos (SICSC), Comprovante de Rendimento (PF, PJ, Defensoria Dativa) e Pagamentos RPV"
VPT,GPROS,--,solicitacoes-genexus@ciasc.sc.gov.br,Jira,"Solicitações dos produtos Safra, Preço, Custos, Fundesa, Terra, BoaVista Gestão, Agendamento IGP, Carteira Funcional *"
VPT,GPROS,---,solicitacoes-jira@ciasc.sc.gov.br,Jira,Solicitações relacionadas ao suporte do Jira Software e Jira Service Managment
VPT,GDESP,CSTRA,ipva@ciasc.sc.gov.br,Jira,Solicitações do produto IPVA 
VPT,GDESP,CSTRA,detrannetmultas@ciasc.sc.gov.br,Jira,Solicitações do produto Detrannet Multas
VPT,GDESP,CSTRA,detrannetveiculos@ciasc.sc.gov.br,Jira,Solicitações do produto Detrannet Veículos
VPT,GDESP,CSTRA,detrannetcnh@ciasc.sc.gov.br,Jira,Solicitações do produto Detrannet CNH
VPT,GDESP,CSTRA,registrocontrato@ciasc.sc.gov.br,Jira,Solicitações do produto Detrannet Registro de Contratos
VPT,GDESP,CSTRA,portalecv@ciasc.sc.gov.br,Jira,Solicitações do produto Portal ECV
VPT,GDESP,CSSEG,solicitacoes-sisp@ciasc.sc.gov.br,Jira,Solicitações do produto SISP *
VPT,GDESP,CSSEG,solicitacoes-ipen@ciasc.sc.gov.br,Jira,Solicitações do produto IPEN *
,,,,,
"* O canal de atendimento não deve ser compartilhado diretamente com o usuário final, somente os órgãos podem abrir demandas nestes canais.",,,,,
